step,regime,p_new,u_pred,u_actual,q_pred,q_actual,demand_shift,revenue_baseline,revenue_new,revenue_gain_pct,utilization_new,reward,reward_revenue_component,reward_utilization_component,reward_congestion_component,pricing_efficiency,epsilon,alpha,beta,fallback_used,data_source,utilization_value,price_applied,revenue_this_step,hour_of_day,is_peak_hour
0,surge,16.64669930934906,0.507445,0.5094583241813379,0.0,0.09458324181337852,-0.027444988489151,83059236.69382359,89647666.10942836,7.932205589477438,0.5067138253324227,-25.956487173068698,7.932205589477438,-0.27444988489151445,83.7751369281825,16.189830838421614,0.25,4.0,4.0,False,unified,0.5094583241813379,16.64669930934906,89647666.10942836,0.0,1.0
1,surge,17.024089694023132,0.5137348,0.5166592535382151,0.0,0.16659253538215069,-0.03373482823371887,85264525.38768691,93505540.44616504,9.665233015732262,0.5132857707148432,-30.921798037979627,9.665233015732262,-0.33734828233719094,100.0,16.44978495235984,0.25,4.0,4.0,False,unified,0.5166592535382151,17.024089694023132,93505540.44616504,0.0,1.0
2,surge,17.05556809902191,0.51425946,0.5134204262815503,4.541679642894215e-05,0.13420426281550268,-0.03425946831703186,85781506.76230396,94195262.35118744,9.808356027363272,0.5099944794498471,-30.876298756416325,9.808356027363272,-0.3425946831703164,100.0,16.47125340410449,0.25,4.0,4.0,False,unified,0.5134204262815503,17.05556809902191,94195262.35118744,0.0,1.0
3,neutral,16.486204147338867,0.47889638,0.4802073103889664,6.228589224540637e-05,0.0,-0.024770069122314452,103727786.49392419,111181248.46035571,7.1855982069646425,0.47773030347673495,5.964261841161338,7.1855982069646425,-0.24770069122314609,-10.808104885196013,16.077839731044698,0.25,4.0,4.0,False,unified,0.4802073103889664,16.486204147338867,111181248.46035571,1.0,1.0
4,surge,16.433542370796204,0.50389236,0.5056820232262689,0.0,0.05682023226268873,-0.02398765648706841,84928359.13149114,90812989.6579027,6.928934676932387,0.503283257577562,-13.436734131367166,6.928934676932387,-0.2398765648706891,46.01212737749272,16.039340201539858,0.25099700897308075,4.0,4.0,False,unified,0.5056820232262689,16.433542370796204,90812989.6579027,1.0,1.0
5,surge,15.58500051498413,0.48975,0.4907822967464691,0.0,0.0,-0.009788891967248583,104650767.73151848,107667783.98383778,2.8829375242229096,0.4898034075497443,4.593821700468285,2.8829375242229096,-0.09788891967248414,-10.808104885196013,15.432440628633437,0.25099700897308075,4.0,4.0,False,unified,0.4907822967464691,15.58500051498413,107667783.98383778,1.0,1.0
6,neutral,16.306495666503906,0.46451968,0.4670187002092743,6.228589224540637e-05,0.0,-0.021861766968584807,91846135.25637704,97663099.14903274,6.333379054457078,0.4648325235124158,5.6926269179411495,6.333379054457078,-0.21861766968584995,-10.808104885196013,15.95000685816856,0.25099700897308075,4.0,4.0,False,unified,0.4670187002092743,16.306495666503906,97663099.14903274,2.0,0.0
7,surge,16.29736840724945,0.5016228,0.5027997338475596,0.0,0.027997338475596045,-0.021795014691952684,78981990.54441062,83942939.00649889,6.281113489155215,0.5006202323783643,-3.8434955177982357,6.281113489155215,-0.21795014691953218,17.189233590400033,15.942167023373282,0.25199104475836903,4.0,4.0,False,unified,0.5027997338475596,16.29736840724945,83942939.00649889,2.0,0.0
8,neutral,16.482248306274414,0.47857982,0.4764312384090815,0.0,0.0,-0.024900886619294172,94584299.3248918,101342824.90994552,7.145504733125477,0.4739411497471521,5.9505992970543815,7.145504733125477,-0.24900886619294016,-10.808104885196013,16.07182570996882,0.25199104475836903,4.0,4.0,False,unified,0.4764312384090815,16.482248306274414,101342824.90994552,2.0,0.0
9,neutral,16.305496215820312,0.46443963,0.466905540529575,6.228589224540637e-05,0.0,-0.022017899365826675,88111392.37507296,93671123.96501622,6.309889606870097,0.46470375059299235,5.6843601633265495,6.309889606870097,-0.22017899365826543,-10.808104885196013,15.946483441030516,0.2529831082504325,4.0,4.0,False,unified,0.466905540529575,16.305496215820312,93671123.96501622,3.0,0.0
10,neutral,16.391143798828125,0.47129154,0.4719309876984268,0.0,0.0,-0.023554307828869463,90925325.02519034,97017696.12400334,6.700411680821753,0.4695755569155398,5.808162299802554,6.700411680821753,-0.23554307828869692,-10.808104885196013,16.005061752123265,0.253974188527935,4.0,4.0,False,unified,0.4719309876984268,16.391143798828125,97017696.12400334,4.0,0.0
11,neutral,16.309579849243164,0.46476632,0.4688716008736976,6.228589224540637e-05,0.0,-0.022259739549079335,94146630.86246634,100087489.44877575,6.310218997627322,0.4666456269187897,5.6836707896717,6.310218997627322,-0.22259739549079227,-10.808104885196013,15.946532849644099,0.254964287537836,4.0,4.0,False,unified,0.4688716008736976,16.309579849243164,100087489.44877575,5.0,0.0
12,surge,15.796970129013062,0.49328282,0.4943491560001765,0.0,0.0,-0.013599147998300417,79035396.20618322,82102732.50399485,3.8809652953592186,0.49298924120034643,4.910597020040795,3.8809652953592186,-0.13599147998300531,-10.808104885196013,15.582144794303883,0.2559534072213177,4.0,4.0,False,unified,0.4943491560001765,15.796970129013062,82102732.50399485,5.0,0.0
13,surge,16.326608061790466,0.5021101,0.504654913520674,0.0,0.04654913520674042,-0.02263665689750255,87684401.66249448,93278831.55033079,6.380188245304787,0.5023912478309238,-10.121189156136278,6.380188245304787,-0.22636656897502272,35.74103032154441,15.957028236795718,0.2559534072213177,4.0,4.0,False,unified,0.504654913520674,16.326608061790466,93278831.55033079,6.0,0.0
